"编号","场景","中文提示","日语答案","日语读音","替换练习"
"001","日常问候、寒暄和办公室交流","辛苦了。方便占用您一点时间吗？","お疲れさまです。少しお時間よろしいですか。","おつかれさまです。すこしおじかんよろしいですか。","少しお時間 → お疲れさまです。五分ほどお時間よろしいですか。"
"002","日常问候、寒暄和办公室交流","早上好。昨天那件事谢谢您。","おはようございます。昨日の件、ありがとうございました。","おはようございます。きのうのけん、ありがとうございました。","昨日の件 → おはようございます。資料の件、ありがとうございました。"
"003","日常问候、寒暄和办公室交流","刚才谢谢您，帮了大忙。","先ほどはありがとうございました。とても助かりました。","さきほどはありがとうございました。とてもたすかりました。","とても助かりました → 先ほどはありがとうございました。本当に助かりました。"
"004","日常问候、寒暄和办公室交流","今天有点忙。","今日は少し立て込んでいます。","きょうはすこしたてこんでいます。","少し立て込んでいます → 午前中は少し立て込んでいます。"
"005","日常问候、寒暄和办公室交流","现在可以稍微确认一下吗？","今、少しだけ確認してもいいですか。","いま、すこしだけかくにんしてもいいですか。","確認してもいいですか → 今、少しだけ相談してもいいですか。"
"006","日常问候、寒暄和办公室交流","这个我稍后共享。","こちら、あとで共有します。","こちら、あとできょうゆうします。","あとで共有します → こちら、今日中に共有します。"
"007","日常问候、寒暄和办公室交流","如果有什么情况，请马上叫我。","何かあれば、すぐ声をかけてください。","なにかあれば、すぐこえをかけてください。","何かあれば → 不明点があれば、すぐ声をかけてください。"
"008","日常问候、寒暄和办公室交流","不好意思，我现在走不开。","すみません、今は手が離せません。","すみません、いまはてがはなせません。","今は手が離せません → すみません、今は会議中で手が離せません。"
"009","日常问候、寒暄和办公室交流","我先离开座位一下。","いったん席を外します。","いったんせきをはずします。","席を外します → 五分ほど席を外します。"
"010","日常问候、寒暄和办公室交流","今天也请多关照。","本日もよろしくお願いします。","ほんじつもよろしくおねがいします。","本日も → 今週もよろしくお願いします。"
"011","自我介绍、公司介绍和业务介绍","初次见面。我是事业开发部的李。","はじめまして。事業開発部の李と申します。","はじめまして。じぎょうかいはつぶのりともうします。","事業開発部 → はじめまして。営業企画部の李と申します。"
"012","自我介绍、公司介绍和业务介绍","我司支持利用AI进行业务改善。","弊社はAIを活用した業務改善を支援しています。","へいしゃはえーあいをかつようしたぎょうむかいぜんをしえんしています。","業務改善 → 弊社はAIを活用した問い合わせ対応を支援しています。"
